mbgd_organism_id	tax_id
mbgd:mmar	orth:477641
mbgd:dau	orth:477974
mbgd:kse	orth:478801
mbgd:nml	orth:479431
mbgd:sro	orth:479432
mbgd:cai	orth:479433
mbgd:sti	orth:479434
mbgd:kfl	orth:479435
mbgd:vpr	orth:479436
mbgd:ele	orth:479437
mbgd:min	orth:481448
mbgd:puf	orth:484770
mbgd:bbo	orth:484906
mbgd:hmu	orth:485914
mbgd:drt	orth:485915
mbgd:phe	orth:485917
mbgd:cpi	orth:485918
mbgd:apb	orth:488538
mbgd:dka	orth:490899
mbgd:afl	orth:491915
mbgd:tdl	orth:4950
mbgd:cja	orth:498211
mbgd:hmo	orth:498761
mbgd:hoh	orth:502025
mbgd:sli	orth:504472
mbgd:mrb	orth:504728
mbgd:oca	orth:504832
mbgd:cex	orth:511051
mbgd:oce	orth:511062
mbgd:eco	orth:511145
mbgd:aps	orth:511995
mbgd:rip	orth:515618
mbgd:eel	orth:515620
mbgd:bpb	orth:515622
mbgd:cts	orth:517418
mbgd:rmr	orth:518766
mbgd:smf	orth:519441
mbgd:hut	orth:519442
mbgd:mpl	orth:521011
mbgd:kol	orth:521045
mbgd:apv	orth:521095
mbgd:tpr	orth:521096
mbgd:coc	orth:521097
mbgd:aac	orth:521098
mbgd:plm	orth:521674
mbgd:app	orth:522306
mbgd:sml	orth:522373
mbgd:dap	orth:522772
mbgd:kko	orth:523791
mbgd:lba	orth:523794
mbgd:mfv	orth:523846
mbgd:gvg	orth:525284
mbgd:dba	orth:525897
mbgd:sdl	orth:525898
mbgd:tai	orth:525903
mbgd:ttr	orth:525904
mbgd:afo	orth:525909
mbgd:apr	orth:525919
mbgd:str	orth:526218
mbgd:gob	orth:526225
mbgd:gbr	orth:526226
mbgd:pmr	orth:529507
mbgd:rla	orth:529884
mbgd:psl	orth:530564
mbgd:fba	orth:531844
mbgd:las	orth:537021
mbgd:htu	orth:543526
mbgd:vap	orth:543728
mbgd:bprc	orth:543913
mbgd:faa	orth:546269
mbgd:ssg	orth:546271
mbgd:mmh	orth:547558
mbgd:nmg	orth:547559
mbgd:mcu	orth:548479
mbgd:fbl	orth:550540
mbgd:naz	orth:551115
mbgd:dly	orth:552811
mbgd:pmz	orth:553174
mbgd:toc	orth:555079
mbgd:hna	orth:555778
mbgd:pti	orth:556484
mbgd:lhk	orth:557598
mbgd:sce	orth:559292
mbgd:lth	orth:559295
mbgd:gm02956	orth:559304
mbgd:zro	orth:559307
mbgd:csg	orth:56107
mbgd:oac	orth:56110
mbgd:dze	orth:561229
mbgd:bts	orth:562970
mbgd:bhy	orth:565034
mbgd:gm02958	orth:566037
mbgd:sat	orth:56780
mbgd:hde	orth:572265
mbgd:gm02946	orth:572307
mbgd:alv	orth:572477
mbgd:vdi	orth:572478
mbgd:hpk	orth:572479
mbgd:ipo	orth:572544
mbgd:aco	orth:572547
mbgd:aex	orth:573065
mbgd:hci	orth:573234
mbgd:ssm	orth:573413
mbgd:mtm	orth:573729
mbgd:cdu	orth:573826
mbgd:aar	orth:574087
mbgd:ipa	orth:575540
mbgd:dpr	orth:577650
mbgd:ttt	orth:578455
mbgd:ttm	orth:580327
mbgd:slt	orth:580332
mbgd:tli	orth:580340
mbgd:hba	orth:582402
mbgd:mei	orth:582744
mbgd:hdn	orth:582899
mbgd:mmb	orth:583345
mbgd:caa	orth:583355
mbgd:iag	orth:583356
mbgd:rho	orth:585394
mbgd:tap	orth:586416
mbgd:dak	orth:589865
mbgd:fpl	orth:589924
mbgd:afn	orth:591001
mbgd:ndo	orth:592029
mbgd:pao	orth:592316
mbgd:fsu	orth:59374
mbgd:asg	orth:59505
mbgd:tau	orth:595494
mbgd:adn	orth:596153
mbgd:nam	orth:598659
mbgd:bpi	orth:600809
mbgd:hth	orth:608538
mbgd:cel	orth:6239
mbgd:azo	orth:62928
mbgd:aci	orth:62977
mbgd:ebt	orth:630626
mbgd:zga	orth:63186
mbgd:ols	orth:633147
mbgd:tag	orth:633148
mbgd:bsb	orth:633149
mbgd:aap	orth:634176
mbgd:gxy	orth:634177
mbgd:apt	orth:634452
mbgd:eic	orth:634503
mbgd:tjr	orth:635013
mbgd:tal	orth:638303
mbgd:ddf	orth:639282
mbgd:sno	orth:639283
mbgd:dsu	orth:640081
mbgd:srt	orth:640132
mbgd:hal	orth:64091
mbgd:cle	orth:642492
mbgd:slp	orth:643648
mbgd:mtt	orth:643867
mbgd:ppa	orth:644223
mbgd:dbr	orth:644282
mbgd:mau	orth:644283
mbgd:ahe	orth:644284
mbgd:mev	orth:644295
mbgd:tmr	orth:644966
mbgd:sgy	orth:645991
mbgd:mok	orth:647113
mbgd:rva	orth:648757
mbgd:tam	orth:648996
mbgd:lby	orth:649349
mbgd:tra	orth:649638
mbgd:erh	orth:650150
mbgd:hao	orth:65093
mbgd:dto	orth:651182
mbgd:din	orth:653733
mbgd:zpr	orth:655815
mbgd:mpg	orth:660470
mbgd:fgi	orth:661478
mbgd:eha	orth:663278
mbgd:ptp	orth:666509
mbgd:asc	orth:666510
mbgd:rhd	orth:666685
mbgd:tid	orth:667014
mbgd:ssdc	orth:669502
mbgd:opr	orth:670487
mbgd:mox	orth:671143
mbgd:dpb	orth:673862
mbgd:pdx	orth:675635
mbgd:mzh	orth:679901
mbgd:mpi	orth:679926
mbgd:afd	orth:679935
mbgd:rmu	orth:680646
mbgd:ctt	orth:688245
mbgd:cao	orth:688270
mbgd:tko	orth:69014
mbgd:ebf	orth:693444
mbgd:ova	orth:693746
mbgd:ran	orth:693978
mbgd:ppn	orth:694427
mbgd:pfm	orth:694429
mbgd:nou	orth:694430
mbgd:dav	orth:694431
mbgd:mmn	orth:696127
mbgd:mas	orth:697281
mbgd:ral	orth:697329
mbgd:axl	orth:698758
mbgd:clo	orth:699246
mbgd:cgo	orth:700015
mbgd:nko	orth:700598
mbgd:pho	orth:70601
mbgd:dti	orth:706587
mbgd:sku	orth:709032
mbgd:osp	orth:709991
mbgd:ica	orth:710696
mbgd:cyu	orth:713887
mbgd:hin	orth:71421
mbgd:wch	orth:716544
mbgd:fsi	orth:717231
mbgd:tco	orth:717605
mbgd:tcy	orth:717773
mbgd:dme	orth:7227
mbgd:rah	orth:741091
mbgd:iva	orth:743718
mbgd:psu	orth:743721
mbgd:shg	orth:743722
mbgd:apc	orth:744985
mbgd:asl	orth:746697
mbgd:tnr	orth:747365
mbgd:pse	orth:748280
mbgd:hhl	orth:748449
mbgd:mct	orth:749219
mbgd:nsa	orth:749222
mbgd:amd	orth:749927
mbgd:tin	orth:75379
mbgd:mec	orth:754477
mbgd:can	orth:755178
mbgd:fte	orth:755732
mbgd:hah	orth:756883
mbgd:hse	orth:757424
mbgd:hmr	orth:760142
mbgd:hhy	orth:760192
mbgd:eba	orth:76114
mbgd:rsi	orth:761193
mbgd:axy	orth:762376
mbgd:gm03347	orth:765910
mbgd:tvi	orth:765911
mbgd:tmb	orth:765912
mbgd:puv	orth:765952
mbgd:fau	orth:767434
mbgd:hel	orth:768066
mbgd:cni	orth:768670
mbgd:dor	orth:768706
mbgd:xau	orth:78245
mbgd:gm03530	orth:794903
mbgd:top	orth:795359
mbgd:hje	orth:795797
mbgd:hxa	orth:797210
mbgd:hlr	orth:797299
mbgd:hru	orth:797302
mbgd:nge	orth:797304
mbgd:pseu	orth:82654
mbgd:mtu	orth:83332
mbgd:gpb	orth:83406
mbgd:syw	orth:84588
mbgd:tmz	orth:85643
mbgd:mai	orth:856793
mbgd:mmt	orth:857087
mbgd:hpy	orth:85962
mbgd:apm	orth:859653
mbgd:rsm	orth:859655
mbgd:eaa	orth:86106
mbgd:gba	orth:861299
mbgd:bmx	orth:862908
mbgd:wvi	orth:865938
mbgd:bbd	orth:866536
mbgd:aur	orth:866775
mbgd:hhd	orth:866895
mbgd:orh	orth:867902
mbgd:mhz	orth:867904
mbgd:dte	orth:868864
mbgd:mhd	orth:869210
mbgd:tpx	orth:869212
mbgd:zin	orth:871271
mbgd:mel	orth:877455
mbgd:cmr	orth:880070
mbgd:fli	orth:880071
mbgd:dao	orth:880072
mbgd:bvs	orth:880074
mbgd:kvu	orth:880591
mbgd:mig	orth:880724
mbgd:dvu	orth:882
mbgd:saci	orth:886293
mbgd:mrs	orth:886377
